"infID","infOrigin"
985,"global"
987,"global"
988,"global"
990,"global"
995,"global"
996,"global"
997,"global"
998,"global"
1000,"global"
1006,"region"
1011,"region"
1012,"global"
1013,"global"
1017,"region"
1018,"region"
1020,"global"
1024,"region"
1028,"global"
1030,"region"
1031,"global"
1033,"region"
1041,"region"
1043,"region"
1045,"global"
1047,"region"
1048,"global"
1051,"region"
1059,"global"
1060,"global"
1070,"region"
1072,"global"
1078,"region"
1079,"global"
1082,"region"
1090,"global"
1095,"region"
1101,"global"
