"Notes"	"County"	"County Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	"Age Group"	"Age Group Code"	Deaths	Population	Crude Rate
	"San Diego County, CA"	"06073"	"Male"	"M"	"1985"	"1985"	"35-44 years"	"35-44"	323	142927	226.0
	"San Diego County, CA"	"06073"	"Male"	"M"	"1985"	"1985"	"45-54 years"	"45-54"	478	86053	555.5
	"San Diego County, CA"	"06073"	"Male"	"M"	"1985"	"1985"	"55-64 years"	"55-64"	1094	80699	1355.7
	"San Diego County, CA"	"06073"	"Male"	"M"	"1985"	"1985"	"65-74 years"	"65-74"	1991	62000	3211.3
	"San Diego County, CA"	"06073"	"Male"	"M"	"1985"	"1985"	"75-84 years"	"75-84"	2044	27228	7507.0
	"San Diego County, CA"	"06073"	"Male"	"M"	"1985"	"1985"	"85+ years"	"85+"	1036	5961	17379.6
"Total"	"San Diego County, CA"	"06073"	"Male"	"M"	"1985"	"1985"			7551	861875	876.1
	"San Diego County, CA"	"06073"	"Male"	"M"	"1986"	"1986"	"15-19 years"	"15-19"	83	92946	89.3
	"San Diego County, CA"	"06073"	"Male"	"M"	"1986"	"1986"	"20-24 years"	"20-24"	178	139385	127.7
	"San Diego County, CA"	"06073"	"Male"	"M"	"1986"	"1986"	"25-34 years"	"25-34"	413	236624	174.5
	"San Diego County, CA"	"06073"	"Male"	"M"	"1986"	"1986"	"35-44 years"	"35-44"	413	153029	269.9
	"San Diego County, CA"	"06073"	"Male"	"M"	"1986"	"1986"	"45-54 years"	"45-54"	465	88576	525.0
	"San Diego County, CA"	"06073"	"Male"	"M"	"1986"	"1986"	"55-64 years"	"55-64"	1111	81172	1368.7
	"San Diego County, CA"	"06073"	"Male"	"M"	"1986"	"1986"	"65-74 years"	"65-74"	1997	64699	3086.6
	"San Diego County, CA"	"06073"	"Male"	"M"	"1986"	"1986"	"75-84 years"	"75-84"	2074	28543	7266.2
	"San Diego County, CA"	"06073"	"Male"	"M"	"1986"	"1986"	"85+ years"	"85+"	1074	6315	17007.1
"Total"	"San Diego County, CA"	"06073"	"Male"	"M"	"1986"	"1986"			7808	891289	876.0
	"San Diego County, CA"	"06073"	"Male"	"M"	"1987"	"1987"	"15-19 years"	"15-19"	76	94595	80.3
	"San Diego County, CA"	"06073"	"Male"	"M"	"1987"	"1987"	"20-24 years"	"20-24"	174	140079	124.2
	"San Diego County, CA"	"06073"	"Male"	"M"	"1987"	"1987"	"25-34 years"	"25-34"	407	245872	165.5
	"San Diego County, CA"	"06073"	"Male"	"M"	"1987"	"1987"	"35-44 years"	"35-44"	428	163140	262.4
	"San Diego County, CA"	"06073"	"Male"	"M"	"1987"	"1987"	"45-54 years"	"45-54"	459	92414	496.7
	"San Diego County, CA"	"06073"	"Male"	"M"	"1987"	"1987"	"55-64 years"	"55-64"	1117	81545	1369.8
	"San Diego County, CA"	"06073"	"Male"	"M"	"1987"	"1987"	"65-74 years"	"65-74"	2001	67561	2961.8
	"San Diego County, CA"	"06073"	"Male"	"M"	"1987"	"1987"	"75-84 years"	"75-84"	2190	30032	7292.2
	"San Diego County, CA"	"06073"	"Male"	"M"	"1987"	"1987"	"85+ years"	"85+"	1201	6631	18111.9
"Total"	"San Diego County, CA"	"06073"	"Male"	"M"	"1987"	"1987"			8053	921869	873.6
	"San Diego County, CA"	"06073"	"Male"	"M"	"1988"	"1988"	"15-19 years"	"15-19"	87	96348	90.3
	"San Diego County, CA"	"06073"	"Male"	"M"	"1988"	"1988"	"20-24 years"	"20-24"	194	141387	137.2
	"San Diego County, CA"	"06073"	"Male"	"M"	"1988"	"1988"	"25-34 years"	"25-34"	447	255250	175.1
	"San Diego County, CA"	"06073"	"Male"	"M"	"1988"	"1988"	"35-44 years"	"35-44"	478	173299	275.8
	"San Diego County, CA"	"06073"	"Male"	"M"	"1988"	"1988"	"45-54 years"	"45-54"	520	98668	527.0
	"San Diego County, CA"	"06073"	"Male"	"M"	"1988"	"1988"	"55-64 years"	"55-64"	1093	82355	1327.2
	"San Diego County, CA"	"06073"	"Male"	"M"	"1988"	"1988"	"65-74 years"	"65-74"	2094	69917	2995.0
	"San Diego County, CA"	"06073"	"Male"	"M"	"1988"	"1988"	"75-84 years"	"75-84"	2251	31564	7131.5
	"San Diego County, CA"	"06073"	"Male"	"M"	"1988"	"1988"	"85+ years"	"85+"	1239	6881	18006.1
"Total"	"San Diego County, CA"	"06073"	"Male"	"M"	"1988"	"1988"			8403	955669	879.3
	"San Diego County, CA"	"06073"	"Male"	"M"	"1989"	"1989"	"15-19 years"	"15-19"	99	96729	102.3
	"San Diego County, CA"	"06073"	"Male"	"M"	"1989"	"1989"	"20-24 years"	"20-24"	164	144046	113.9
	"San Diego County, CA"	"06073"	"Male"	"M"	"1989"	"1989"	"25-34 years"	"25-34"	505	262231	192.6
