"Notes"	"County"	"County Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	"Age Group"	"Age Group Code"	Deaths	Population	Crude Rate
	"San Diego County, CA"	"06073"	"Male"	"M"	"1999"	"1999"	"15-19 years"	"15-19"	68	104085	65.3
	"San Diego County, CA"	"06073"	"Male"	"M"	"1999"	"1999"	"20-24 years"	"20-24"	116	126110	92.0
	"San Diego County, CA"	"06073"	"Male"	"M"	"1999"	"1999"	"25-34 years"	"25-34"	222	235161	94.4
	"San Diego County, CA"	"06073"	"Male"	"M"	"1999"	"1999"	"35-44 years"	"35-44"	540	231800	233.0
	"San Diego County, CA"	"06073"	"Male"	"M"	"1999"	"1999"	"45-54 years"	"45-54"	780	167584	465.4
	"San Diego County, CA"	"06073"	"Male"	"M"	"1999"	"1999"	"55-64 years"	"55-64"	941	94893	991.6
	"San Diego County, CA"	"06073"	"Male"	"M"	"1999"	"1999"	"65-74 years"	"65-74"	1916	72669	2636.6
	"San Diego County, CA"	"06073"	"Male"	"M"	"1999"	"1999"	"75-84 years"	"75-84"	3057	48194	6343.1
	"San Diego County, CA"	"06073"	"Male"	"M"	"1999"	"1999"	"85+ years"	"85+"	1943	11623	16716.9
"Total"	"San Diego County, CA"	"06073"	"Male"	"M"	"1999"	"1999"			9583	1092119	877.5
	"San Diego County, CA"	"06073"	"Male"	"M"	"2000"	"2000"	"15-19 years"	"15-19"	73	105385	69.3
	"San Diego County, CA"	"06073"	"Male"	"M"	"2000"	"2000"	"20-24 years"	"20-24"	120	128208	93.6
	"San Diego County, CA"	"06073"	"Male"	"M"	"2000"	"2000"	"25-34 years"	"25-34"	234	231512	101.1
	"San Diego County, CA"	"06073"	"Male"	"M"	"2000"	"2000"	"35-44 years"	"35-44"	478	232423	205.7
	"San Diego County, CA"	"06073"	"Male"	"M"	"2000"	"2000"	"45-54 years"	"45-54"	793	173771	456.3
	"San Diego County, CA"	"06073"	"Male"	"M"	"2000"	"2000"	"55-64 years"	"55-64"	969	97346	995.4
	"San Diego County, CA"	"06073"	"Male"	"M"	"2000"	"2000"	"65-74 years"	"65-74"	1891	72237	2617.8
	"San Diego County, CA"	"06073"	"Male"	"M"	"2000"	"2000"	"75-84 years"	"75-84"	2957	48938	6042.3
	"San Diego County, CA"	"06073"	"Male"	"M"	"2000"	"2000"	"85+ years"	"85+"	2028	12038	16846.7
"Total"	"San Diego County, CA"	"06073"	"Male"	"M"	"2000"	"2000"			9543	1101858	866.1
	"San Diego County, CA"	"06073"	"Male"	"M"	"2001"	"2001"	"15-19 years"	"15-19"	78	106551	73.2
	"San Diego County, CA"	"06073"	"Male"	"M"	"2001"	"2001"	"20-24 years"	"20-24"	122	133520	91.4
	"San Diego County, CA"	"06073"	"Male"	"M"	"2001"	"2001"	"25-34 years"	"25-34"	241	233243	103.3
	"San Diego County, CA"	"06073"	"Male"	"M"	"2001"	"2001"	"35-44 years"	"35-44"	458	233531	196.1
	"San Diego County, CA"	"06073"	"Male"	"M"	"2001"	"2001"	"45-54 years"	"45-54"	865	183561	471.2
	"San Diego County, CA"	"06073"	"Male"	"M"	"2001"	"2001"	"55-64 years"	"55-64"	1048	102778	1019.7
	"San Diego County, CA"	"06073"	"Male"	"M"	"2001"	"2001"	"65-74 years"	"65-74"	1793	72198	2483.4
	"San Diego County, CA"	"06073"	"Male"	"M"	"2001"	"2001"	"75-84 years"	"75-84"	3038	49950	6082.1
	"San Diego County, CA"	"06073"	"Male"	"M"	"2001"	"2001"	"85+ years"	"85+"	2010	12576	15982.8
"Total"	"San Diego County, CA"	"06073"	"Male"	"M"	"2001"	"2001"			9653	1127908	855.8
	"San Diego County, CA"	"06073"	"Male"	"M"	"2002"	"2002"	"15-19 years"	"15-19"	66	108142	61.0
	"San Diego County, CA"	"06073"	"Male"	"M"	"2002"	"2002"	"20-24 years"	"20-24"	136	135310	100.5
	"San Diego County, CA"	"06073"	"Male"	"M"	"2002"	"2002"	"25-34 years"	"25-34"	237	233896	101.3
	"San Diego County, CA"	"06073"	"Male"	"M"	"2002"	"2002"	"35-44 years"	"35-44"	472	231735	203.7
	"San Diego County, CA"	"06073"	"Male"	"M"	"2002"	"2002"	"45-54 years"	"45-54"	840	187552	447.9
	"San Diego County, CA"	"06073"	"Male"	"M"	"2002"	"2002"	"55-64 years"	"55-64"	1054	111035	949.3
	"San Diego County, CA"	"06073"	"Male"	"M"	"2002"	"2002"	"65-74 years"	"65-74"	1742	72130	2415.1
	"San Diego County, CA"	"06073"	"Male"	"M"	"2002"	"2002"	"75-84 years"	"75-84"	2904	50294	5774.0
	"San Diego County, CA"	"06073"	"Male"	"M"	"2002"	"2002"	"85+ years"	"85+"	2087	13075	15961.8
"Total"	"San Diego County, CA"	"06073"	"Male"	"M"	"2002"	"2002"			9538	1143169	834.3
	"San Diego County, CA"	"06073"	"Male"	"M"	"2003"	"2003"	"15-19 years"	"15-19"	84	108808	77.2
	"San Diego County, CA"	"06073"	"Male"	"M"	"2003"	"2003"	"20-24 years"	"20-24"	115	131194	87.7
	"San Diego County, CA"	"06073"	"Male"	"M"	"2003"	"2003"	"25-34 years"	"25-34"	225	230178	97.8
	"San Diego County, CA"	"06073"	"Male"	"M"	"2003"	"2003"	"35-44 years"	"35-44"	460	228337	201.5
	"San Diego County, CA"	"06073"	"Male"	"M"	"2003"	"2003"	"45-54 years"	"45-54"	875	192525	454.5
	"San Diego County, CA"	"06073"	"Male"	"M"	"2003"	"2003"	"55-64 years"	"55-64"	1106	117516	941.1
	"San Diego County, CA"	"06073"	"Male"	"M"	"2003"	"2003"	"65-74 years"	"65-74"	1702	72501	2347.6
	"San Diego County, CA"	"06073"	"Male"	"M"	"2003"	"2003"	"75-84 years"	"75-84"	2982	50519	5902.7
	"San Diego County, CA"	"06073"	"Male"	"M"	"2003"	"2003"	"85+ years"	"85+"	2169	13930	15570.7
"Total"	"San Diego County, CA"	"06073"	"Male"	"M"	"2003"	"2003"			9718	1145508	848.4
	"San Diego County, CA"	"06073"	"Male"	"M"	"2004"	"2004"	"15-19 years"	"15-19"	82	110592	74.1
	"San Diego County, CA"	"06073"	"Male"	"M"	"2004"	"2004"	"20-24 years"	"20-24"	130	135426	96.0
	"San Diego County, CA"	"06073"	"Male"	"M"	"2004"	"2004"	"25-34 years"	"25-34"	221	230511	95.9
	"San Diego County, CA"	"06073"	"Male"	"M"	"2004"	"2004"	"35-44 years"	"35-44"	436	225517	193.3
	"San Diego County, CA"	"06073"	"Male"	"M"	"2004"	"2004"	"45-54 years"	"45-54"	905	196100	461.5
	"San Diego County, CA"	"06073"	"Male"	"M"	"2004"	"2004"	"55-64 years"	"55-64"	1146	123023	931.5
	"San Diego County, CA"	"06073"	"Male"	"M"	"2004"	"2004"	"65-74 years"	"65-74"	1622	72392	2240.6
	"San Diego County, CA"	"06073"	"Male"	"M"	"2004"	"2004"	"75-84 years"	"75-84"	2882	50103	5752.2
	"San Diego County, CA"	"06073"	"Male"	"M"	"2004"	"2004"	"85+ years"	"85+"	2288	14232	16076.4
"Total"	"San Diego County, CA"	"06073"	"Male"	"M"	"2004"	"2004"			9712	1157896	838.8
	"San Diego County, CA"	"06073"	"Male"	"M"	"2005"	"2005"	"15-19 years"	"15-19"	55	113185	48.6
	"San Diego County, CA"	"06073"	"Male"	"M"	"2005"	"2005"	"20-24 years"	"20-24"	154	139967	110.0
	"San Diego County, CA"	"06073"	"Male"	"M"	"2005"	"2005"	"25-34 years"	"25-34"	230	228032	100.9
	"San Diego County, CA"	"06073"	"Male"	"M"	"2005"	"2005"	"35-44 years"	"35-44"	421	221755	189.8
	"San Diego County, CA"	"06073"	"Male"	"M"	"2005"	"2005"	"45-54 years"	"45-54"	934	199621	467.9
	"San Diego County, CA"	"06073"	"Male"	"M"	"2005"	"2005"	"55-64 years"	"55-64"	1225	128684	951.9
	"San Diego County, CA"	"06073"	"Male"	"M"	"2005"	"2005"	"65-74 years"	"65-74"	1566	72541	2158.8
	"San Diego County, CA"	"06073"	"Male"	"M"	"2005"	"2005"	"75-84 years"	"75-84"	2815	50221	5605.2
	"San Diego County, CA"	"06073"	"Male"	"M"	"2005"	"2005"	"85+ years"	"85+"	2295	15208	15090.7
"Total"	"San Diego County, CA"	"06073"	"Male"	"M"	"2005"	"2005"			9695	1169214	829.2
	"San Diego County, CA"	"06073"	"Male"	"M"	"2006"	"2006"	"15-19 years"	"15-19"	84	115160	72.9
	"San Diego County, CA"	"06073"	"Male"	"M"	"2006"	"2006"	"20-24 years"	"20-24"	144	141009	102.1
	"San Diego County, CA"	"06073"	"Male"	"M"	"2006"	"2006"	"25-34 years"	"25-34"	210	228517	91.9
	"San Diego County, CA"	"06073"	"Male"	"M"	"2006"	"2006"	"35-44 years"	"35-44"	396	218376	181.3
	"San Diego County, CA"	"06073"	"Male"	"M"	"2006"	"2006"	"45-54 years"	"45-54"	819	202817	403.8
	"San Diego County, CA"	"06073"	"Male"	"M"	"2006"	"2006"	"55-64 years"	"55-64"	1230	134432	915.0
	"San Diego County, CA"	"06073"	"Male"	"M"	"2006"	"2006"	"65-74 years"	"65-74"	1523	72586	2098.2
	"San Diego County, CA"	"06073"	"Male"	"M"	"2006"	"2006"	"75-84 years"	"75-84"	2797	50060	5587.3
	"San Diego County, CA"	"06073"	"Male"	"M"	"2006"	"2006"	"85+ years"	"85+"	2359	15934	14804.8
"Total"	"San Diego County, CA"	"06073"	"Male"	"M"	"2006"	"2006"			9562	1178891	811.1
	"San Diego County, CA"	"06073"	"Male"	"M"	"2007"	"2007"	"15-19 years"	"15-19"	65	116488	55.8
	"San Diego County, CA"	"06073"	"Male"	"M"	"2007"	"2007"	"20-24 years"	"20-24"	126	142503	88.4
	"San Diego County, CA"	"06073"	"Male"	"M"	"2007"	"2007"	"25-34 years"	"25-34"	233	230095	101.3
	"San Diego County, CA"	"06073"	"Male"	"M"	"2007"	"2007"	"35-44 years"	"35-44"	410	215421	190.3
	"San Diego County, CA"	"06073"	"Male"	"M"	"2007"	"2007"	"45-54 years"	"45-54"	959	206372	464.7
	"San Diego County, CA"	"06073"	"Male"	"M"	"2007"	"2007"	"55-64 years"	"55-64"	1320	140627	938.7
	"San Diego County, CA"	"06073"	"Male"	"M"	"2007"	"2007"	"65-74 years"	"65-74"	1520	74448	2041.7
