"Notes"	"County"	"County Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	"Age Group"	"Age Group Code"	Deaths	Population	Crude Rate
	"San Diego County, CA"	"06073"	"Male"	"M"	"2007"	"2007"	"75-84 years"	"75-84"	2632	49669	5299.1
	"San Diego County, CA"	"06073"	"Male"	"M"	"2007"	"2007"	"85+ years"	"85+"	2369	17198	13774.9
"Total"	"San Diego County, CA"	"06073"	"Male"	"M"	"2007"	"2007"			9634	1192821	807.7
	"San Diego County, CA"	"06073"	"Male"	"M"	"2008"	"2008"	"15-19 years"	"15-19"	59	118414	49.8
	"San Diego County, CA"	"06073"	"Male"	"M"	"2008"	"2008"	"20-24 years"	"20-24"	129	145020	89.0
	"San Diego County, CA"	"06073"	"Male"	"M"	"2008"	"2008"	"25-34 years"	"25-34"	214	235220	91.0
	"San Diego County, CA"	"06073"	"Male"	"M"	"2008"	"2008"	"35-44 years"	"35-44"	340	214077	158.8
	"San Diego County, CA"	"06073"	"Male"	"M"	"2008"	"2008"	"45-54 years"	"45-54"	893	210076	425.1
	"San Diego County, CA"	"06073"	"Male"	"M"	"2008"	"2008"	"55-64 years"	"55-64"	1431	146390	977.5
	"San Diego County, CA"	"06073"	"Male"	"M"	"2008"	"2008"	"65-74 years"	"65-74"	1549	77842	1989.9
	"San Diego County, CA"	"06073"	"Male"	"M"	"2008"	"2008"	"75-84 years"	"75-84"	2518	49746	5061.7
	"San Diego County, CA"	"06073"	"Male"	"M"	"2008"	"2008"	"85+ years"	"85+"	2560	18258	14021.3
"Total"	"San Diego County, CA"	"06073"	"Male"	"M"	"2008"	"2008"			9693	1215043	797.7
	"San Diego County, CA"	"06073"	"Male"	"M"	"2009"	"2009"	"15-19 years"	"15-19"	60	118933	50.4
	"San Diego County, CA"	"06073"	"Male"	"M"	"2009"	"2009"	"20-24 years"	"20-24"	113	146514	77.1
	"San Diego County, CA"	"06073"	"Male"	"M"	"2009"	"2009"	"25-34 years"	"25-34"	217	239636	90.6
	"San Diego County, CA"	"06073"	"Male"	"M"	"2009"	"2009"	"35-44 years"	"35-44"	322	212150	151.8
	"San Diego County, CA"	"06073"	"Male"	"M"	"2009"	"2009"	"45-54 years"	"45-54"	878	212744	412.7
	"San Diego County, CA"	"06073"	"Male"	"M"	"2009"	"2009"	"55-64 years"	"55-64"	1434	153250	935.7
	"San Diego County, CA"	"06073"	"Male"	"M"	"2009"	"2009"	"65-74 years"	"65-74"	1583	81058	1952.9
	"San Diego County, CA"	"06073"	"Male"	"M"	"2009"	"2009"	"75-84 years"	"75-84"	2378	49495	4804.5
	"San Diego County, CA"	"06073"	"Male"	"M"	"2009"	"2009"	"85+ years"	"85+"	2714	19176	14153.1
"Total"	"San Diego County, CA"	"06073"	"Male"	"M"	"2009"	"2009"			9699	1232956	786.6
	"San Diego County, CA"	"06073"	"Male"	"M"	"2010"	"2010"	"15-19 years"	"15-19"	57	118308	48.2
	"San Diego County, CA"	"06073"	"Male"	"M"	"2010"	"2010"	"20-24 years"	"20-24"	113	148641	76.0
	"San Diego County, CA"	"06073"	"Male"	"M"	"2010"	"2010"	"25-34 years"	"25-34"	172	243726	70.6
	"San Diego County, CA"	"06073"	"Male"	"M"	"2010"	"2010"	"35-44 years"	"35-44"	310	211674	146.5
	"San Diego County, CA"	"06073"	"Male"	"M"	"2010"	"2010"	"45-54 years"	"45-54"	762	214464	355.3
	"San Diego County, CA"	"06073"	"Male"	"M"	"2010"	"2010"	"55-64 years"	"55-64"	1398	159184	878.2
	"San Diego County, CA"	"06073"	"Male"	"M"	"2010"	"2010"	"65-74 years"	"65-74"	1539	83148	1850.9
	"San Diego County, CA"	"06073"	"Male"	"M"	"2010"	"2010"	"75-84 years"	"75-84"	2419	49896	4848.1
	"San Diego County, CA"	"06073"	"Male"	"M"	"2010"	"2010"	"85+ years"	"85+"	2775	19581	14171.9
"Total"	"San Diego County, CA"	"06073"	"Male"	"M"	"2010"	"2010"			9545	1248622	764.4
	"San Diego County, CA"	"06073"	"Male"	"M"	"2011"	"2011"	"15-19 years"	"15-19"	45	115928	38.8
	"San Diego County, CA"	"06073"	"Male"	"M"	"2011"	"2011"	"20-24 years"	"20-24"	118	149916	78.7
	"San Diego County, CA"	"06073"	"Male"	"M"	"2011"	"2011"	"25-34 years"	"25-34"	232	251654	92.2
	"San Diego County, CA"	"06073"	"Male"	"M"	"2011"	"2011"	"35-44 years"	"35-44"	308	211539	145.6
	"San Diego County, CA"	"06073"	"Male"	"M"	"2011"	"2011"	"45-54 years"	"45-54"	870	214025	406.5
	"San Diego County, CA"	"06073"	"Male"	"M"	"2011"	"2011"	"55-64 years"	"55-64"	1425	166959	853.5
	"San Diego County, CA"	"06073"	"Male"	"M"	"2011"	"2011"	"65-74 years"	"65-74"	1536	87795	1749.5
	"San Diego County, CA"	"06073"	"Male"	"M"	"2011"	"2011"	"75-84 years"	"75-84"	2488	50363	4940.1
	"San Diego County, CA"	"06073"	"Male"	"M"	"2011"	"2011"	"85+ years"	"85+"	2910	20357	14294.8
"Total"	"San Diego County, CA"	"06073"	"Male"	"M"	"2011"	"2011"			9932	1268536	782.9
	"San Diego County, CA"	"06073"	"Male"	"M"	"2012"	"2012"	"15-19 years"	"15-19"	56	114651	48.8
	"San Diego County, CA"	"06073"	"Male"	"M"	"2012"	"2012"	"20-24 years"	"20-24"	118	152263	77.5
	"San Diego County, CA"	"06073"	"Male"	"M"	"2012"	"2012"	"25-34 years"	"25-34"	257	259114	99.2
	"San Diego County, CA"	"06073"	"Male"	"M"	"2012"	"2012"	"35-44 years"	"35-44"	313	213343	146.7
	"San Diego County, CA"	"06073"	"Male"	"M"	"2012"	"2012"	"45-54 years"	"45-54"	819	213212	384.1
	"San Diego County, CA"	"06073"	"Male"	"M"	"2012"	"2012"	"55-64 years"	"55-64"	1549	170815	906.8
	"San Diego County, CA"	"06073"	"Male"	"M"	"2012"	"2012"	"65-74 years"	"65-74"	1640	94996	1726.4
	"San Diego County, CA"	"06073"	"Male"	"M"	"2012"	"2012"	"75-84 years"	"75-84"	2454	50863	4824.7
	"San Diego County, CA"	"06073"	"Male"	"M"	"2012"	"2012"	"85+ years"	"85+"	2883	20971	13747.6
"Total"	"San Diego County, CA"	"06073"	"Male"	"M"	"2012"	"2012"			10089	1290228	782.0
	"San Diego County, CA"	"06073"	"Male"	"M"	"2013"	"2013"	"15-19 years"	"15-19"	49	112262	43.6
	"San Diego County, CA"	"06073"	"Male"	"M"	"2013"	"2013"	"20-24 years"	"20-24"	116	151053	76.8
	"San Diego County, CA"	"06073"	"Male"	"M"	"2013"	"2013"	"25-34 years"	"25-34"	246	266666	92.3
	"San Diego County, CA"	"06073"	"Male"	"M"	"2013"	"2013"	"35-44 years"	"35-44"	309	214534	144.0
	"San Diego County, CA"	"06073"	"Male"	"M"	"2013"	"2013"	"45-54 years"	"45-54"	807	212436	379.9
	"San Diego County, CA"	"06073"	"Male"	"M"	"2013"	"2013"	"55-64 years"	"55-64"	1575	175389	898.0
	"San Diego County, CA"	"06073"	"Male"	"M"	"2013"	"2013"	"65-74 years"	"65-74"	1798	101207	1776.6
	"San Diego County, CA"	"06073"	"Male"	"M"	"2013"	"2013"	"75-84 years"	"75-84"	2472	51512	4798.9
	"San Diego County, CA"	"06073"	"Male"	"M"	"2013"	"2013"	"85+ years"	"85+"	3047	21351	14271.0
"Total"	"San Diego County, CA"	"06073"	"Male"	"M"	"2013"	"2013"			10419	1306410	797.5
	"San Diego County, CA"	"06073"	"Male"	"M"	"2014"	"2014"	"15-19 years"	"15-19"	33	111106	29.7
	"San Diego County, CA"	"06073"	"Male"	"M"	"2014"	"2014"	"20-24 years"	"20-24"	118	152131	77.6
	"San Diego County, CA"	"06073"	"Male"	"M"	"2014"	"2014"	"25-34 years"	"25-34"	240	274103	87.6
	"San Diego County, CA"	"06073"	"Male"	"M"	"2014"	"2014"	"35-44 years"	"35-44"	309	216270	142.9
	"San Diego County, CA"	"06073"	"Male"	"M"	"2014"	"2014"	"45-54 years"	"45-54"	797	211894	376.1
	"San Diego County, CA"	"06073"	"Male"	"M"	"2014"	"2014"	"55-64 years"	"55-64"	1489	179723	828.5
	"San Diego County, CA"	"06073"	"Male"	"M"	"2014"	"2014"	"65-74 years"	"65-74"	1814	107371	1689.5
	"San Diego County, CA"	"06073"	"Male"	"M"	"2014"	"2014"	"75-84 years"	"75-84"	2403	52542	4573.5
	"San Diego County, CA"	"06073"	"Male"	"M"	"2014"	"2014"	"85+ years"	"85+"	2986	22123	13497.3
"Total"	"San Diego County, CA"	"06073"	"Male"	"M"	"2014"	"2014"			10189	1327263	767.7
	"San Diego County, CA"	"06073"	"Male"	"M"	"2015"	"2015"	"15-19 years"	"15-19"	45	110220	40.8
	"San Diego County, CA"	"06073"	"Male"	"M"	"2015"	"2015"	"20-24 years"	"20-24"	133	150809	88.2
	"San Diego County, CA"	"06073"	"Male"	"M"	"2015"	"2015"	"25-34 years"	"25-34"	239	278729	85.7
	"San Diego County, CA"	"06073"	"Male"	"M"	"2015"	"2015"	"35-44 years"	"35-44"	292	218210	133.8
	"San Diego County, CA"	"06073"	"Male"	"M"	"2015"	"2015"	"45-54 years"	"45-54"	770	211487	364.1
	"San Diego County, CA"	"06073"	"Male"	"M"	"2015"	"2015"	"55-64 years"	"55-64"	1558	184581	844.1
	"San Diego County, CA"	"06073"	"Male"	"M"	"2015"	"2015"	"65-74 years"	"65-74"	1953	113592	1719.3
	"San Diego County, CA"	"06073"	"Male"	"M"	"2015"	"2015"	"75-84 years"	"75-84"	2412	53370	4519.4
	"San Diego County, CA"	"06073"	"Male"	"M"	"2015"	"2015"	"85+ years"	"85+"	3128	23080	13552.9
"Total"	"San Diego County, CA"	"06073"	"Male"	"M"	"2015"	"2015"			10530	1344078	783.4
	"San Diego County, CA"	"06073"	"Male"	"M"	"2016"	"2016"	"15-19 years"	"15-19"	38	109262	34.8
	"San Diego County, CA"	"06073"	"Male"	"M"	"2016"	"2016"	"20-24 years"	"20-24"	130	148047	87.8
	"San Diego County, CA"	"06073"	"Male"	"M"	"2016"	"2016"	"25-34 years"	"25-34"	254	283107	89.7
	"San Diego County, CA"	"06073"	"Male"	"M"	"2016"	"2016"	"35-44 years"	"35-44"	354	220229	160.7
	"San Diego County, CA"	"06073"	"Male"	"M"	"2016"	"2016"	"45-54 years"	"45-54"	686	210259	326.3
	"San Diego County, CA"	"06073"	"Male"	"M"	"2016"	"2016"	"55-64 years"	"55-64"	1668	188448	885.1
	"San Diego County, CA"	"06073"	"Male"	"M"	"2016"	"2016"	"65-74 years"	"65-74"	2050	119161	1720.4
	"San Diego County, CA"	"06073"	"Male"	"M"	"2016"	"2016"	"75-84 years"	"75-84"	2449	54506	4493.1
	"San Diego County, CA"	"06073"	"Male"	"M"	"2016"	"2016"	"85+ years"	"85+"	3158	23640	13358.7
"Total"	"San Diego County, CA"	"06073"	"Male"	"M"	"2016"	"2016"			10787	1356659	795.1
"Total"	"San Diego County, CA"	"06073"	"Male"	"M"					177521	21899179	810.6
"Total"	"San Diego County, CA"	"06073"							177521	21899179	810.6
"Total"									177521	21899179	810.6
"---"
"Dataset: Compressed Mortality, 1999-2016"
"Query Parameters:"
"Age Group: 15-19 years; 20-24 years; 25-34 years; 35-44 years; 45-54 years; 55-64 years; 65-74 years; 75-84 years; 85+ years"
"Gender: Male"
"States: San Diego County, CA (06073)"
"Group By: County; Gender; Year; Age Group"
"Show Totals: True"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 100,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/cmf.html for more information."
"---"
"Query Date: Sep 17, 2021 6:57:49 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. Compressed Mortality File"
"1999-2016 on CDC WONDER Online Database, released June 2017. Data are from the Compressed Mortality File 1999-2016 Series 20 No."
"2U, 2016, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative"
"Program. Accessed at http://wonder.cdc.gov/cmf-icd10.html on Sep 17, 2021 6:57:49 AM"
"---"
Caveats:
"1. About sub-national population figures for regions, divisions, states and counties: population figures for 1999 are from the"
"1990-1999 series of bridged-race intercensal estimates of the July 1 resident population; population figures for 2000 and 2010"
"are bridged-race April 1 census counts; population figures for 2001-2009 are from the revised 2000-2009 series of bridged-race"
"intercensal estimates of the July 1 resident population; and population figures for 2011-2015 are bridged-race postcensal"
"estimates of the July 1 resident population, from the Vintage 2015 series released by NCHS on June 28, 2016."
"2. Deaths of persons with Age ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among age groups,"
"so are not included in age-specific counts, age-specific rates or in any age-adjusted rates. More information:"
"http://wonder.cdc.gov/wonder/help/cmf.html#Not Stated."
"3. As of April 3, 2017, the underlying cause of death has been revised for 125 deaths in 2014. More information:"
"http://wonder.cdc.gov/wonder/help/cmf.html#2014-Revision."
